TI,AU,DO,YR,Title Screen,Abstract Screen,Data Screen,Data Extracted,,,,
scd4-17b bifunctional protein: extremely broad and potent neutralization of hiv-1 env pseudotyped viruses from genetically diverse primary isolates,Lagenaur LA,10.1186/1742-4690-7-11,2010,NR,,0,,,,,
fitness epistasis and constraints on adaptation in a human immunodeficiency virus type 1 protein region,da Silva J,10.1534/genetics.109.112458,2010,NR,,0,,,,,
determinants of the willingness-to-pay for hiv/aids prevention: the case of mother-to-child transmission in selected hospitals in ghana,Ayifah E,10.1186/1742-4690-7-S1-P137,2010,NR,,0,,,,,
silencing of nbcep1 encoding a chloroplast envelope protein containing 15 leucine-rich-repeats disrupts chloroplast biogenesis in nicotiana benthamiana,Jeon Y,10.1007/s10059-010-0011-5,2010,NR,,0,,,,,
compartmentalization and clonal amplification of hiv-1 variants in the cerebrospinal fluid during primary infection,Schnell G,10.1128/JVI.01863-09,2010,NR,,0,,,,,
adaptive changes in hiv-1 subtype c proteins during early infection are driven by changes in hla-associated immune pressure,Treurnicht FK,10.1016/j.virol.2009.10.002,2010,NR,,0,,,,,
improvement of an ultrasensitive human immunodeficiency virus type 1 real-time reverse transcriptase-polymerase chain reaction targeting the long terminal repeat region,Edelmann A,10.1111/j.1537-2995.2009.02477.x,2010,NR,,0,,,,,
emergent properties and structural patterns in sexually transmitted infection and hiv research (special issue: epidemiology and prevention of stds: the role of emergent properties and structural patterns),Blanchard,10.1136/sti.2010.046037,2010,NR,,0,,,,,
exploiting knowledge of immune selection in hiv-1 to detect hiv-specific cd8 t-cell responses,Almeida CA,10.1016/j.vaccine.2010.06.091,2010,NR,,0,,,,,
enhancing hiv vaccine trial consent preparedness among street drug users,Fisher CB,10.1525/jer.2010.5.2.65,2010,NR,,0,,,,,
epidemiological bridging by injection drug use drives an early hiv epidemic,Volz E,10.1016/j.epidem.2010.06.003,2010,NR,,0,,,,,
full genome analysis of an emerging cluster of human immunodeficiency virus type 1 subtype b infection in hong kong,Tsui SK,10.1089/aid.2009.0104,2010,NR,,0,,,,,
estimating frequencies of minority nevirapine-resistant strains in chronically hiv-1-infected individuals naive to nevirapine by using stochastic simulations and a mathematical model,Gadhamsetty S,10.1128/JVI.01010-10,2010,NR,,0,,,,,
ethnic diversity and patterns of infection of a uk hiv-positive patient population outwith major conurbations,Aiken,10.1258/ijsa.2010.010043,2010,NR,,0,,,,,
direct correlation between genome dimerization and recombination efficiency of hiv-1,Sakuragi J,10.1016/j.micinf.2010.06.012,2010,NR,,0,,,,,
evaluation of abbott realtime hiv-1 qualitative assay in detection of hiv-1 nucleic acids from dried blood spots and plasma,Huang S,,2010,NR,,0,,,,,
evolution of ccr5 antagonist resistance in an hiv-1 subtype c clinical isolate,Henrich TJ,10.1097/QAI.0b013e3181f25574,2010,NR,,0,,,,,
genetics of focal segmental glomerulosclerosis and human immunodeficiency virus-associated collapsing glomerulopathy: the role of myh9 genetic variation,Winkler CA,10.1016/j.semnephrol.2010.01.003,2010,NR,,0,,,,,
expanded evaluation of blood donors in the united states for human immunodeficiency virus type 1 non-b subtypes and antiretroviral drug-resistant strains: 2005 through 2007,Brennan CA,10.1111/j.1537-2995.2010.02767.x,2010,NR,,0,,,,,
explosive hiv-1 subtype b' epidemics in asia driven by geographic and risk group founder events,Li Y,10.1016/j.virol.2010.03.048,2010,NR,,0,,,,,
domestic violence screening: prevalence and outcomes in a canadian hiv population,Siemieniuk RAC,10.1089/apc.2010.0235,2010,NR,,0,,,,,
factors affecting the emergence of intersubtype recombinants in hiv-1 population,Galli A,,2010,NR,,0,,,,,
dynamics and timing of in vivo mutations at gag residue 242 during primary hiv-1 subtype c infection,Novitsky V,10.1016/j.virol.2010.04.001,2010,NR,,0,,,,,
effects of thymic selection of the t-cell repertoire on hla class i-associated control of hiv infection,Kosmrlj A,10.1038/nature08997,2010,NR,,0,,,,,
gay men: current challenges and emerging approaches in hiv prevention (special issue: hiv in nsw in 2010),Wit,10.1071/NB10008,2010,NR,,0,,,,,
gender issues and the hiv/aids epidemic: the kuwaiti women experience,Ashkanani HR,10.1007/s00198-010-1247-9,2010,NR,,0,,,,,
"genetic and epidemiologic characterization of hiv-1 infection in liaoning province, china",Han X,10.1097/QAI.0b013e3181c7d5bf,2010,NR,,0,,,,,
genetic diversity at endoplasmic reticulum aminopeptidases is maintained by balancing selection and is associated with natural resistance to hiv-1 infection,Cagliani R,10.1093/hmg/ddq401,2010,NR,,0,,,,,
hbv evolution and drug resistance emergence in hiv-hbv co-infected patients depends upon the synergistic interaction between immunological and pharmacological selective pressure,Cento V,10.1007/s15010-010-1001-4,2010,NR,,0,,,,,
hidden drug resistant hiv to emerge in the era of universal treatment access in southeast asia,Hoare A,10.1371/journal.pone.0010981,2010,NR,,0,,,,,
high frequency of man having sex with man with unknown duration of infection in epidemiological networks involving primary resistance in hiv-1 naive individuals,Lai A,10.1007/s15010-010-1001-4,2010,NR,,0,,,,,
estimating time since infection in early homogeneous hiv-1 samples using a poisson model,Giorgi EE,10.1186/1471-2105-11-532,2010,NR,,0,,,,,
high polymorphism rates in the hr1 and hr2 gp41 and presence of primary resistance-related mutations in hiv type 1 circulating in brazil: possible impact on enfuvirtide efficacy,Teixeira,10.1089/aid.2008.0297,2010,NR,,0,,,,,
higher levels of zidovudine resistant hiv in the colon compared to blood and other gastrointestinal compartments in hiv infection,van Marle G,10.1186/1742-4690-7-74,2010,NR,,0,,,,,
hiv infection among us army and air force military personnel: sociodemographic and genotyping analysis,Singer DE,10.1089/aid.2009.0289,2010,NR,,0,,,,,
evaluating the opinions of staff and health care service provision of an std/hiv clinic in africa: indications for recovery,Cooper RG,,2010,NR,,0,,,,,
hiv treatment optimism and unsafe anal intercourse among hiv-positive men who have sex with men: findings from the positive connections study,Brennan DJ,10.1521/aeap.2010.22.2.126,2010,NR,,0,,,,,
"hiv treatment, care and support in nsw: a work necessarily still in progress (special issue: hiv in nsw in 2010)",Garsia,10.1071/NB10014,2010,NR,,0,,,,,
"hiv type 1 pol gene diversity and genotypic antiretroviral drug resistance mutations in malabo, equatorial guinea",Djoko CF,10.1089/aid.2010.0046,2010,NR,,0,,,,,
hiv type-1 genotypic resistance profiles in vertically infected patients from argentina reveal an association between k103n+l100i and l74v mutations,Aulicino PC,10.3851/IMP1571,2010,NR,,0,,,,,
evolution of hiv-1 diversity in regions of high viral diversity and implications for vaccine design,Powell R,10.1089/aid.2010.9998,2010,NR,,0,,,,,
evolution of hiv-1 in india,Seth P,10.1007/s13337-010-0001-4,2010,NR,,0,,,,,
factors affecting adherence to highly active anti retroviral therapy in hiv positive patients - southern india,Akhila JS,,2010,NR,,0,,,,,
female disclosure of hiv-positive serostatus to sex partners: a two-city study,Kathleen S,10.1080/03630242.2010.516697,2010,NR,,0,,,,,
hiv-1 non-b subtypes: high transmitted nnrti-resistance in spain and impaired genotypic resistance interpretation due to variability,Yebra G,10.1016/j.antiviral.2009.11.010,2010,NR,,0,,,,,
fluidity of hiv-1-specific t-cell responses during acute and early subtype c hiv-1 infection and associations with early disease progression,Mlotshwa M,10.1128/JVI.01472-10,2010,NR,,0,,,,,
hiv-1 reverse transcriptase drug-resistance mutations in chronically infected individuals receiving or naive to haart in cameroon,Burda ST,10.1002/jmv.21677,2010,NR,,0,,,,,
hiv-1 subtype c phylodynamics in the global epidemic,Novitsky V,10.3390/v2010033,2010,NR,,0,,,,,
gender differences in hiv-related coping and depression,Vosvick M,10.1007/s10461-008-9490-1,2010,NR,,0,,,,,
generation of a family-specific phage library of llama single chain antibody fragments that neutralize hiv-1,Koh WW,10.1074/jbc.M110.116699,2010,NR,,0,,,,,
genetic analyses of hiv-1 env sequences demonstrate limited compartmentalization in breast milk and suggest viral replication within the breast that increases with mastitis,Gantt S,10.1128/JVI.00543-10,2010,NR,,0,,,,,
genetic analyses suggest functional differences in the nature of persistent viraemia between hiv-1 elite controllers and therapy exposed controllers,Mens H,,2010,NR,,0,,,,,
genetic characteristics of hiv-1 envelope associated with broadly cross-reactive neutralizing antibody responses,Thebus R,10.1089/aid.2010.9998,2010,NR,,0,,,,,
hiv-1 transmission after cessation of early antiretroviral therapy among men having sex with men,Rieder P,10.1097/QAD.0b013e328338e4de,2010,NR,,0,,,,,
hiv-2 antiretroviral drug resistance and genetic diversity in cote d'ivoire: presence of key resistance mutations in hiv-2 naive patients from abidjan,Toni TA,,2010,NR,,0,,,,,
"hiv/aids and the long-distance truck drivers in south-west nigeria: a cross-sectional survey on the knowledge, attitude, risk behaviour and beliefs of truckers",Atilola GO,10.1016/j.jiph.2010.08.002,2010,NR,,0,,,,,
genetic variation within the gene encoding the hiv-1 ccr5 coreceptor in two south african populations,Picton AC,10.1016/j.meegid.2010.02.012,2010,NR,,0,,,,,
"hla-b alleles associate consistently with hiv heterosexual transmission, viral load, and progression to aids, but not susceptibility to infection",Gao X,10.1097/QAD.0b013e32833c3219,2010,NR,,0,,,,,
genotypic and phenotypic characteristics of crf01-ae hiv-1 virus env genes from early infected individuals,Zhao C,10.1089/aid.2010.9998,2010,NR,,0,,,,,
genotypic characterization of hiv type 1 env gp160 sequences from three regions in thailand,de Silva UC,10.1089/aid.2009.0213,2010,NR,,0,,,,,
strategies in designing multigene expression units to downregulate hiv-1,Zhang J,10.1007/978-1-60761-588-0_8,2010,NR,,0,,,,,
"human immunodeficiency virus (hiv) and migrant ""risk environments"": the case of the ethiopian and eritrean immigrant community in the west midlands of the uk",Barrett HR,10.1080/13548501003653192,2010,NR,,0,,,,,
human immunodeficiency virus type 1 protease inhibitor drug-resistant mutants give discordant results when compared in single-cycle and multiple-cycle fitness assays,Dykes C,10.1128/JCM.00605-10,2010,NR,,0,,,,,
heterogeneity and penetration of hiv-1 non-subtype b viruses in an italian province: public health implications,Torti C,10.1017/S0950268810000166,2010,NR,,0,,,,,
heterologous prime-boost hiv-1 vaccination regimens in pre-clinical and clinical trials,Brown,,2010,NR,,0,,,,,
"high genetic diversity of hiv-1 viruses in macao, china",Tan Y,10.1016/j.jinf.2010.04.012,2010,NR,,0,,,,,
is there a genetic basis for health disparities in human immunodeficiency virus disease?,Winkler C,10.1002/msj.20172,2010,NR,,0,,,,,
"identification of the phenotypic, genotypic and fitness correlates of non-b subtype hiv-1 nrti resistance through longitudinal analysis of children with virological failure in the developing world",Mbisa JL,,2010,NR,,0,,,,,
"hiv among plasma donors and other high-risk groups in henan, china",Li N,10.1097/QAI.0b013e3181c7d717,2010,NR,,0,,,,,
hiv patient characteristics that affect adherence to exercise programmes: an observational study,Petroczi,10.2174/1874613601004010148,2010,NR,,0,,,,,
hiv prevention and care in the digital age,Chiasson MA,10.1097/QAI.0b013e3181fcb878,2010,NR,,0,,,,,
in vitro hiv-1 cross-resistance against reverse transcriptase inhibitor-based microbicides,Selhorst P,,2010,NR,,0,,,,,
lower prevalence of human immunodeficiency virus type 1 brazilian subtype b found in northeastern brazil with slower progression to aids,Araujo AF,10.1089/aid.2010.0068,2010,NR,,0,,,,,
"hiv type 1 genetic diversity in silesia, poland: a retrospective analysis",Smolen J,10.1089/aid.2009.0172,2010,NR,,0,,,,,
hiv vaccines: lessons learned and the way forward,Kim JH,10.1097/COH.0b013e32833d17ac,2010,NR,,0,,,,,
hiv with contact tracing: a case study in approximate bayesian computation,Blum MGB,10.1093/biostatistics/kxq022,2010,NR,,0,,,,,
hiv-1 continues to replicate and evolve in patients with natural control of hiv infection,Mens H,10.1128/JVI.00387-10,2010,NR,,0,,,,,
hiv-1 diversity after a class switch failure,Kolber MA,10.1089/aid.2010.0069,2010,NR,,0,,,,,
hiv-1 genetic diversity in bulgaria 2008-2009,Ake J,10.1089/aid.2010.9998,2010,NR,,0,,,,,
hiv-1 subtype c envelope characteristics associated with divergent rates of chronic disease progression,Archary D,10.1186/1742-4690-7-92,2010,NR,,0,,,,,
hiv-1 subtype g strains play a major role in hiv-1 genetic complexity in nigeria,Heipertz RA,10.1089/aid.2010.9998,2010,NR,,0,,,,,
hiv-mir-h1 evolvability during hiv pathogenesis,Lamers SL,10.1016/j.biosystems.2010.05.001,2010,NR,,0,,,,,
"hiv-positive men who have sex with men: biography, diversity in lifestyles, common experience of living with hiv anrs-en12 vespa study, 2003",Lert,10.1080/09540120903012544,2010,NR,,0,,,,,
hiv-specific t cells: strategies for fighting a moving target,Mckinnon LR,10.2174/157016210794088245,2010,NR,,0,,,,,
lead expansion and virtual screening of indinavir derivate hiv-1 protease inhibitors using pharmacophoric - shape similarity scoring function,Shityakov S,,2010,NR,,0,,,,,
host genes associated with hiv/aids: advances in gene discovery,An P,10.1016/j.tig.2010.01.002,2010,NR,,0,,,,,
long peptides induce polyfunctional t cells against conserved regions of hiv-1 with superior breadth to single-gene vaccines in macaques,Rosario M,10.1002/eji.201040344,2010,NR,,0,,,,,
"lowering hiv fitness and replication rate by administration of lamivudine alone, in extensively resistant hiv-infected patients, as a ""bridging"" strategy towards optimized salvage regimens",Manfredi R,10.1186/1742-4690-7-S1-P58,2010,NR,,0,,,,,
novel subtype c human immunodeficiency virus type 1 envelopes cloned directly from plasma: coreceptor usage and neutralization phenotypes,Koh WW,10.1099/vir.0.022228-0,2010,NR,,0,,,,,
impaired replication capacity of acute/early viruses in persons who become hiv controllers,Miura T,10.1128/JVI.00286-10,2010,NR,,0,,,,,
"improved hiv-1 rna quantitation by cobas ampliprep/cobas taqman hiv-1 test, v20 using a novel dual-target approach",Sizmann D,10.1016/j.jcv.2010.06.004,2010,NR,,0,,,,,
in vivo validation of a bioinformatics based tool to identify reduced replication capacity in hiv-1,Kitchen CM,10.2174/1874431101004010225,2010,NR,,0,,,,,
increase in frequency of hiv-1 non-b subtypes in patients enrolled at the time of primary infection,Chaix ML,,2010,NR,,0,,,,,
increased genetic diversity of hiv-1 circulating in hong kong,Chen JH,10.1371/journal.pone.0012198,2010,NR,,0,,,,,
increased sensitivity to neutralizing antibodies of end-stage disease r5 hiv-1 is concomitant with reduced gp120 glyco-sylation and increased+charge,Fenyo E,10.1089/aid.2010.9998,2010,NR,,0,,,,,
"increasing hiv-related knowledge, communication, and testing intentions among latinos: protege tu familia: hazte la prueba",Rios-Ellis B,10.1353/hpu.0.0360,2010,NR,,0,,,,,
infection by discordant strains of hiv-1 markedly enhances the neutralizing antibody response against heterologous virus,Powell RL,10.1128/JVI.02732-09,2010,NR,,0,,,,,
inter-clade dual hiv-1 infection in the uk - an emerging phenomenon,Deayton J,10.1111/j.1468-1293.2010.00841-2.xP54,2010,NR,,0,,,,,
molecular diversity and polymerase gene genotypes of hiv-1 among treatment-naive cameroonian subjects with advanced disease,Soares EA,10.1016/j.jcv.2010.04.008,2010,NR,,0,,,,,
molecular epidemiology of hiv type 1 in mexico: emergence of bg and bf intersubtype recombinants,Vazquez-Valls E,10.1089/aid.2009.0195,2010,NR,,0,,,,,
molecular epidemiology of human immunodeficiency virus type 1 (hiv-1) in north-central nigeria and the evolution of crf02-ag and subtype g in nigeria,Ajoge HO,10.1089/aid.2010.9998,2010,NR,,0,,,,,
limited introductions and genetic variation of hiv-1 in a msm cohort in china,Chen Y,10.1089/aid.2010.9998,2010,NR,,0,,,,,
molecular targets and potency of hiv-1 neutralization revealed by dynamic assessment of transmitted/founder virus antibody recognition and escape,Bar KJ,10.1089/aid.2010.9998,2010,NR,,0,,,,,
lymphopenia on routine full blood count as an indicator of undiagnosed hiv infection,Hogan S,10.1111/j.1468-1293.2010.00841-2.xP54,2010,NR,,0,,,,,
macrophages and cell-cell spread of hiv-1,Waki,,2010,NR,,0,,,,,
multiple nucleotide preferences determine cleavage-site recognition by the hiv-1 and m-mulv rnases h,Schultz SJ,10.1016/j.jmb.2010.01.059,2010,NR,,0,,,,,
mental health in hiv seronegative and seropositive idus in south florida,Jones DL,10.1080/09540120903039851,2010,NR,,0,,,,,
modeling the impact of hiv/aids upon food security of diverse rural households in western kenya,Gill,10.1016/j.agsy.2010.01.007,2010,NR,,0,,,,,
modelling the between-host evolution of set-point viral load in hiv infection,Shirreff G,10.1016/j.ijid.2010.02.1665,2010,NR,,0,,,,,
"neither molecular diversity of the envelope, immunosuppression status, nor proviral load causes indeterminate htlv western blot profiles in samples from human t-cell lymphotropic virus type 2 (htlv-2)-infected individuals",Olah I,10.1002/jmv.21718,2010,NR,,0,,,,,
neutralization activity in a geographically diverse east london cohort of human immunodeficiency virus type 1-infected patients: clade c infection results in a stronger and broader humoral immune response than clade b infection,Dreja H,10.1099/vir.0.024224-0,2010,NR,,0,,,,,
modulation of hiv-1 virulence via the host glucocorticoid receptor: towards further understanding the molecular mechanisms of hiv-1 pathogenesis,Hapgood JP,10.1007/s00705-010-0678-0,2010,NR,,0,,,,,
"novel monocyclam derivatives as hiv entry inhibitors: design, synthesis, anti-hiv evaluation, and their interaction with the cxcr4 co-receptor",Pettersson S,10.1002/cmdc.201000124,2010,NR,,0,,,,,
nucleic acid template and the risk of a pcr-induced hiv-1 drug resistance mutation,Varghese V,10.1371/journal.pone.0010992,2010,NR,,0,,,,,
mosaic hiv-1 gag antigens can accurately present major hiv-specific epitopes in human cells,Ndhlovu ZM,10.1089/aid.2010.9998,2010,NR,,0,,,,,
multistage genomewide association study identifies a locus at 1q41 associated with rate of hiv-1 disease progression to clinical aids,Herbeck JT,10.1086/649842,2010,NR,,0,,,,,
national response to hiv/aids in india,Damodar Bachani,10.4103/0970-0218.74341,2010,NR,,0,,,,,
"partner age discordance, sexual relationship power, and hiv risk behavior in adolescent girls",Volpe E,10.1016/j.jadohealth.2009.11.089,2010,NR,,0,,,,,
overcoming challenges to accessing and adhering to care in minority patients living with hiv,Ojikutu B,,2010,NR,,0,,,,,
"pathways to sex-work in nagaland, india: implications for hiv prevention and community mobilisation",Devine,10.1080/09540120903039869,2010,NR,,0,,,,,
perceptions of condom fit and feel among men living with hiv,Reece M,10.1089/apc.2010.0021,2010,NR,,0,,,,,
perceptions of hiv-related websites among persons recently diagnosed with hiv,Courtenay-Quirk C,10.1089/apc.2009.0228,2010,NR,,0,,,,,
phylogeny and analysis of sequence motifs associated with biological activities of hiv-1 subtype c structural and accessory genes from south africa,Mothapo KM,10.1089/aid.2010.9998,2010,NR,,0,,,,,
"performance of the automated cobas ampliprep/cobas taqman hiv-1 test on a genetically diverse panel of specimens from china: comparison to the cobas amplicor hiv-1 monitor test, v15",Xu S,10.1159/000299064,2010,NR,,0,,,,,
phenotypic characterization of a panel of hiv-1 subtype g functional envelope clones,Thomson MM,10.1089/aid.2010.9998,2010,NR,,0,,,,,
phenotypic susceptibility to bevirimat in isolates from hiv-1-infected patients without prior exposure to bevirimat,Margot NA,10.1128/AAC.01784-09,2010,NR,,0,,,,,
skin disorders in korean patients infected with human immunodeficiency virus and their association with a cd4 lymphocyte count: a preliminary study,Kim T-G,10.1111/j.1468-3083.2010.03675.x,2010,NR,,0,,,,,
"pp2a1 binding, cell transducing and apoptotic properties of vpr77-92: a new functional domain of hiv-1 vpr proteins",Godet AN,10.1371/journal.pone.0013760,2010,NR,,0,,,,,
potent and broad neutralization of hiv-1 subtype c viruses by an antibody targeting a quaternary epitope including residues in the v2 loop,Moore PL,10.1089/aid.2010.9998,2010,NR,,0,,,,,
priming immunization with dna augments immunogenicity of recombinant adenoviral vectors for both hiv-1 specific antibody and t-cell responses,Koup RA,10.1371/journal.pone.0009015,2010,NR,,0,,,,,
identification of a new hiv type 1 bf intersubtype circulating recombinant form (crf44-bf) in chile,Delgado E,10.1089/aid.2010.0006,2010,NR,,0,,,,,
the rna binding protein hur does not interact directly with hiv-1 reverse transcriptase and does not affect reverse transcription in vitro,Ahn J,10.1186/1742-4690-7-40,2010,NR,,0,,,,,
phylodynamics of hiv-1 circulating recombinant forms 12_bf and 38_bf in argentina and uruguay,Bello G,10.1186/1742-4690-7-22,2010,NR,,0,,,,,
sub-attomolar hiv-1 dna detection using surface-enhanced raman spectroscopy,Hu J,10.1039/b920358c,2010,NR,,0,,,,,
presence of low abundance drug-resistant mutations in recently infected hiv-1 subtype c patients from south africa,Wallis CL,,2010,NR,,0,,,,,
"pregnancy intentions and family planning preferences among hiv-infected women in nyanza province, kenya",Harrington E,10.1016/j.contraception.2010.04.039,2010,NR,,0,,,,,
preliminary report of hiv and toxoplasma gondii occurrence in pregnant women from mozambique,Sitoe,,2010,NR,,0,,,,,
evidence for adaptive evolution at the divergence between lymphoid and brain hiv-1 nef genes,Olivieri KC,10.1089/aid.2009.0257,2010,NR,,0,,,,,
prevalence and correlates of sexual behavior and risk management among hiv-positive adults over 50,Golub SA,10.1097/OLQ.0b013e3181e15f20,2010,NR,,0,,,,,
"prevalence, estimated hiv-1 incidence and viral diversity among people seeking voluntary counseling and testing services in rio de janeiro, brazil",de Castro CA,10.1186/1471-2334-10-224,2010,NR,,0,,,,,
"viral tropism, fitness and pathogenicity of hiv-1 subtype c",Jakobsen MR,10.2217/fvl.09.77,2010,NR,,0,,,,,
alternative splicing: regulation of hiv-1 multiplication as a target for therapeutic action: minireview,Tazi J,10.1111/j.1742-4658.2009.07522.x,2010,NR,,0,,,,,
hla-b molecules target more conserved regions of the hiv-1 proteome,Fontaine Costa AI,10.1097/QAD.0b013e328334442e,2010,NR,,0,,,,,
apobec3g expression is dysregulated in primary hiv-1 infection and polymorphic variants influence cd4+ t-cell counts and plasma viral load,Reddy K,10.1097/QAD.0b013e3283353bba,2010,NR,,0,,,,,
"genetic composition of replication competent clonal hiv-1 variants isolated from peripheral blood mononuclear cells (pbmc), hiv-1 proviral dna from pbmc and hiv-1 rna in serum in the course of hiv-1 infection",Edo-Matas D,10.1016/j.virol.2010.06.029,2010,NR,,0,,,,,
germline antecedents of an anti-hiv murine antibody,Feng W,10.1111/j.1532-5415.2010.02850.x,2010,NR,,0,,,,,
relocalization of hiv-gag+cd81+ vesicles to the macrophage surface after exposure to chlorpromazine,Weaver C,10.1091/mbc.E10-10-0839,2010,NR,,0,,,,,
"evidence-based hiv disclosure intervention for african and caribbean women in canada: when to tell, to whom, why and how",Tharao WE,,2010,NR,,0,,,,,
apobec1 editing of hiv1 rna often leads to the destruction of linear b-cell epitopes: case study of env gene region coding for gp120 protein,Khrustalev VV,10.1016/j.nbt.2010.01.008,2010,NR,,0,,,,,
"prevalence of transmitted drug resistance associated mutations and hiv-1 subtypes in new hiv-1 diagnoses, us-2006",Wheeler WH,10.1097/QAD.0b013e3283388742,2010,NR,,0,,,,,
underestimation of viremia of hiv-1 variants by commercial real time pcr assays,Foglieni B,10.1007/s15010-010-1001-4,2010,NR,,0,,,,,
"specific genetic signatures in v3 base can modulate co-receptor usage in vivo, the interaction with neutralizing antibodies, and hiv-1 cytopathic effect",Alteri C,10.1007/s15010-010-1001-4,2010,NR,,0,,,,,
"local production of hiv variants in breast milk of chronically hiv-infected, lactating women",Salazar-Gonzalez JF,10.1089/aid.2010.9998,2010,NR,,0,,,,,
promoting new hiv testing options to msm in montreal: spot's communications campaign,Haig TA,,2010,NR,,0,,,,,
a bifunctional designer protein with potential for hiv prevention: concepts and implications,Dey B,10.1089/aid.2010.9998,2010,NR,,0,,,,,
high prevalence of ctl escape mutations on hiv strains circulating in a native population with limited hla diversity,Monaco D,10.1089/aid.2010.9998,2010,NR,,0,,,,,
impact of b*57/b*5801 associated ctl escape and compensatory mutations on hiv-1 subtype c viral fitness,Chopera DR,10.1089/aid.2010.9998,2010,NR,,0,,,,,
characterization of hiv-1 envelope variants from slow pro-gressors who developed broadly neutralizing cd4-binding site antibodies against hiv-1,Wu X,10.1089/aid.2010.9998,2010,NR,,0,,,,,
generation of broadly neutralizing monoclonal antibodies to hiv-1 envelope protein and characterization of the epitopes,Jacob RA,10.1089/aid.2010.9998,2010,NR,,0,,,,,
prime-boost immunization with poxvirus or adenovirus vectors as a strategy to develop a protective vaccine for hiv-1,Paris RM,10.1586/erv.10.106,2010,NR,,0,,,,,
principal component analysis of general patterns of hiv-1 replicative fitness in different drug environments,Martins JZ,10.1016/j.epidem.2010.03.003,2010,NR,,0,,,,,
"ctl escape and reversion in hiv-1 gag, pol and nef in an african subtype c cohort",Schaefer MR,10.1089/aid.2010.9998,2010,NR,,0,,,,,
site-specific genome cleavage by a vector-incorporated hiv-1 integrase fusion protein,Schenkwein D,10.1089/hum.2010.915,2010,NR,,0,,,,,
"the base component of 3'-azido-2',3'-dideoxynucleosides determines the mutation patterns selected in hiv-1 reverse transcriptase",Meteer J,,2010,NR,,0,,,,,
prolonged control of an hiv type 1 escape variant following treatment interruption in an hla-b*27-positive patient,O'Connell KA,10.1089/aid.2010.0135,2010,NR,,0,,,,,
prevalence of low-level variants with rt k65r among different hiv subtypes and the effects of arv-exposure on variant levels,Kozal MJ,,2010,NR,,0,,,,,
"specific genetic signatures in v3 base can modulate coreceptor usage in vivo, the interaction with neutralizing antibodies and hiv-1 cytopathic effect",Svicher V,,2010,NR,,0,,,,,
physical performance among individuals with cancer and hiv-aids: a comparison with health cohorts,Lee JQ,,2010,NR,,0,,,,,
recombination rate and selection strength in hiv intra-patient evolution,Neher RA,10.1371/journal.pcbi.1000660,2010,NR,,0,,,,,
relationship between antibody 2f5 neutralization of hiv-1 and hydrophobicity of its heavy chain third complementarity-determining region,Ofek G,10.1128/JVI.02257-09,2010,NR,,0,,,,,
rebound hiv-1 viraemia after cessation of long-term suppressive antiretroviral therapy has low genetic diversity and little divergence from pre-therapy virus populations,Kearney M,,2010,NR,,0,,,,,
replication competent molecular clones of hiv-1 expressing renilla luciferase facilitate the analysis of antibody inhibition in pbmc,Edmonds TG,10.1016/j.virol.2010.08.028,2010,NR,,0,,,,,
"reproductive health services for populations at high risk of hiv: performance of a night clinic in tete province, mozambique",Lafort,,2010,NR,,0,,,,,
restriction of hiv-1 genotypes in breast milk does not account for the population transmission genetic bottleneck that occurs following transmission,Heath L,10.1371/journal.pone.0010213,2010,NR,,0,,,,,
"risk factors for transmission of hiv in a hospital environment of yaounde, cameroon",Mbanya,10.3390/ijerph7052085,2010,NR,,0,,,,,
role of service providers of needle syringe program in preventing hiv/aids,Tsai T-I,10.1521/aeap.2010.22.6.546,2010,NR,,0,,,,,
reduction of the risk of transfusion-transmitted hiv infection by using a hiv ag/ab combination assay in blood screening in cameroon,Laperche S,10.1111/j.1423-0410.2010.01343-2.x,2010,NR,,0,,,,,
remarkable lethal g-to-a mutations in vif-proficient hiv-1 provirus by individual apobec3 proteins in humanized mice,Sato K,10.1128/JVI.00823-10,2010,NR,,0,,,,,
resistance pathways of human immunodeficiency virus type 1 against the combination of zidovudine and lamivudine,Theys,10.1099/vir.0.022657-0,2010,NR,,0,,,,,
"response to comment on ""the origins of sexually transmitted hiv among men who have sex with men""",Smith D,10.1126/scitranslmed.3001473,2010,NR,,0,,,,,
role of gag in hiv resistance to protease inhibitors,Clavel F,10.3390/v2071411,2010,NR,,0,,,,,
small molecule mimetics of an hiv-1 gp41 fusion intermediate as vaccine leads,Caulfield MJ,10.1074/jbc.M110.172197,2010,NR,,0,,,,,
solution conformation and dynamics of the hiv-1 integrase core domain,Fitzkee NC,10.1074/jbc.M110.113407,2010,NR,,0,,,,,
"seroprevalence and molecular epidemiology of htlv-1 isolates from hiv-1 co-infected women in feira de santana, bahia, brazil",de Almeida Rego FF,10.1089/aid.2009.0298,2010,NR,,0,,,,,
sulfatide administration leads to inhibition of hiv-1 replication and enhanced hematopoeisis,Sundell IB,jsc.2010.5.1.33,2010,NR,,0,,,,,
shiv162p3 infection of macaques resulting from vaccine failure using fthi or gp120 shows less envelope evolution than infection of naive macaques,Srinivasan P,10.1089/aid.2010.9998,2010,NR,,0,,,,,
short communication: biological and genetic characterization of hiv type 1 subtype b and nonsubtype b transmitted viruses: usefulness for vaccine candidate assessment,Cuevas MT,10.1089/aid.2010.0018,2010,NR,,0,,,,,
